ENSG00000000419;path:hsa00510;DPM1;N-Glycan biosynthesis
ENSG00000000419;path:hsa01100;DPM1;Metabolic pathways
ENSG00000000457;NA;NA;NA
ENSG00000000460;NA;NA;NA
ENSG00000001617;path:hsa04360;SEMA3F;Axon guidance
ENSG00000001626;path:hsa04972;CFTR;Pancreatic secretion
ENSG00000001626;path:hsa04152;CFTR;AMPK signaling pathway
ENSG00000001626;path:hsa04976;CFTR;Bile secretion
ENSG00000001626;path:hsa05110;CFTR;Vibrio cholerae infection
ENSG00000001626;path:hsa04024;CFTR;cAMP signaling pathway
ENSG00000001626;path:hsa04971;CFTR;Gastric acid secretion
ENSG00000001626;path:hsa04530;CFTR;Tight junction
ENSG00000001626;path:hsa02010;CFTR;ABC transporters
ENSG00000002016;path:hsa03440;RAD52;Homologous recombination
ENSG00000002330;path:hsa01522;BAD;Endocrine resistance
ENSG00000002330;path:hsa04722;BAD;Neurotrophin signaling pathway
ENSG00000002330;path:hsa05210;BAD;Colorectal cancer
ENSG00000002330;path:hsa05203;BAD;Viral carcinogenesis
ENSG00000002330;path:hsa04510;BAD;Focal adhesion
ENSG00000002330;path:hsa05160;BAD;Hepatitis C
ENSG00000002330;path:hsa04210;BAD;Apoptosis
ENSG00000002330;path:hsa05213;BAD;Endometrial cancer
ENSG00000002330;path:hsa05165;BAD;Human papillomavirus infection
ENSG00000002330;path:hsa05168;BAD;Herpes simplex virus 1 infection
ENSG00000002330;path:hsa05010;BAD;Alzheimer disease
ENSG00000002330;path:hsa05211;BAD;Renal cell carcinoma
ENSG00000002330;path:hsa05221;BAD;Acute myeloid leukemia
ENSG00000002330;path:hsa04140;BAD;Autophagy - animal
ENSG00000002330;path:hsa05014;BAD;Amyotrophic lateral sclerosis
ENSG00000002330;path:hsa05020;BAD;Prion disease
ENSG00000002330;path:hsa05161;BAD;Hepatitis B
ENSG00000002330;path:hsa05022;BAD;Pathways of neurodegeneration - multiple diseases
ENSG00000002330;path:hsa04370;BAD;VEGF signaling pathway
ENSG00000002330;path:hsa05220;BAD;Chronic myeloid leukemia
ENSG00000002330;path:hsa04024;BAD;cAMP signaling pathway
ENSG00000002330;path:hsa05225;BAD;Hepatocellular carcinoma
ENSG00000002330;path:hsa05207;BAD;Chemical carcinogenesis - receptor activation
ENSG00000002330;path:hsa04919;BAD;Thyroid hormone signaling pathway
ENSG00000002330;path:hsa05223;BAD;Non-small cell lung cancer
ENSG00000002330;path:hsa05170;BAD;Human immunodeficiency virus 1 infection
ENSG00000002330;path:hsa05417;BAD;Lipid and atherosclerosis
ENSG00000002330;path:hsa04910;BAD;Insulin signaling pathway
ENSG00000002330;path:hsa05218;BAD;Melanoma
ENSG00000002330;path:hsa04014;BAD;Ras signaling pathway
ENSG00000002330;path:hsa04062;BAD;Chemokine signaling pathway
ENSG00000002330;path:hsa01524;BAD;Platinum drug resistance
ENSG00000002330;path:hsa05162;BAD;Measles
ENSG00000002330;path:hsa04022;BAD;cGMP-PKG signaling pathway
